bench,invocation,baseline_mean_us,aot_mean_us
matrix-multiplication,1,51722.8,44016.2
matrix-multiplication,2,22701.0,22519.2
matrix-multiplication,3,19438.4,17823.8
matrix-multiplication,4,17647.2,17784.8
matrix-multiplication,5,26257.2,27384.4
matrix-multiplication,6,15849.0,15942.0
matrix-multiplication,7,16526.2,17121.0
matrix-multiplication,8,15427.8,15615.4
matrix-multiplication,9,26867.6,27606.4
matrix-multiplication,10,15411.2,16111.2
matrix-multiplication,11,25985.0,26858.0
matrix-multiplication,12,28600.8,30261.6
matrix-multiplication,13,17698.6,17389.4
matrix-multiplication,14,14946.8,15067.0
matrix-multiplication,15,15707.6,15447.8
matrix-multiplication,16,14846.2,14978.2
matrix-multiplication,17,19262.4,18791.2
matrix-multiplication,18,15374.2,15416.4
matrix-multiplication,19,14661.2,14476.2
matrix-multiplication,20,26005.8,24797.8
matrix-multiplication,21,19607.6,17724.4
matrix-multiplication,22,18978.4,16635.4
matrix-multiplication,23,18414.0,16187.2
matrix-multiplication,24,16074.2,15147.4
matrix-multiplication,25,17117.6,16457.8
matrix-multiplication,26,21363.4,25383.2
matrix-multiplication,27,16426.6,15608.6
matrix-multiplication,28,15180.6,14875.2
matrix-multiplication,29,20392.6,22190.8
matrix-multiplication,30,25810.2,26059.4
matrix-multiplication,31,15139.8,16702.2
matrix-multiplication,32,26328.0,26962.4
matrix-multiplication,33,24824.8,25170.2
matrix-multiplication,34,15132.0,15228.0
matrix-multiplication,35,25768.4,27057.8
matrix-multiplication,36,14717.8,15387.2
matrix-multiplication,37,15604.0,15078.8
matrix-multiplication,38,14985.2,15062.2
matrix-multiplication,39,14872.0,14867.0
matrix-multiplication,40,15408.2,15582.6
matrix-multiplication,41,26504.2,27266.4
matrix-multiplication,42,15987.2,15106.8
matrix-multiplication,43,27293.2,24119.8
matrix-multiplication,44,15495.4,15494.6
matrix-multiplication,45,15011.0,15078.0
matrix-multiplication,46,15788.2,15127.4
matrix-multiplication,47,14752.8,14815.4
matrix-multiplication,48,15457.8,15435.2
matrix-multiplication,49,26100.4,27301.8
matrix-multiplication,50,14907.0,14915.8
matrix-multiplication,51,14923.4,14935.2
matrix-multiplication,52,25314.2,25480.2
matrix-multiplication,53,15266.4,15243.6
matrix-multiplication,54,25718.0,25670.4
matrix-multiplication,55,14879.2,14965.2
