bench,invocation,cold_mean_us,warm_mean_us
matrix-multiplication,1,59358.0,52054.2
matrix-multiplication,2,24325.2,26440.6
matrix-multiplication,3,21294.0,20105.6
matrix-multiplication,4,17418.6,16893.4
matrix-multiplication,5,26842.2,27431.4
matrix-multiplication,6,14955.0,15078.6
matrix-multiplication,7,24022.2,24687.0
matrix-multiplication,8,17265.2,17073.4
matrix-multiplication,9,27418.2,28567.0
matrix-multiplication,10,16594.6,16728.0
matrix-multiplication,11,23519.0,22177.8
matrix-multiplication,12,24452.0,20713.4
matrix-multiplication,13,20682.0,21100.4
matrix-multiplication,14,19147.0,20384.8
matrix-multiplication,15,17224.6,17633.6
matrix-multiplication,16,18865.6,16645.2
matrix-multiplication,17,27122.2,26819.0
matrix-multiplication,18,15222.0,16198.6
matrix-multiplication,19,16119.8,16449.6
matrix-multiplication,20,26220.4,26113.6
matrix-multiplication,21,17253.4,15706.0
matrix-multiplication,22,25937.2,24606.8
matrix-multiplication,23,17322.8,15269.4
matrix-multiplication,24,19602.6,17326.6
matrix-multiplication,25,17155.8,17629.6
matrix-multiplication,26,27584.4,27352.8
matrix-multiplication,27,15879.6,16898.6
matrix-multiplication,28,15336.4,14892.8
matrix-multiplication,29,23087.4,24406.2
matrix-multiplication,30,27746.8,27781.8
matrix-multiplication,31,15057.2,14954.2
matrix-multiplication,32,23834.4,21563.2
matrix-multiplication,33,26669.8,28984.0
matrix-multiplication,34,16027.2,16535.8
matrix-multiplication,35,23037.2,25757.2
matrix-multiplication,36,15364.6,15250.0
matrix-multiplication,37,15866.0,15894.0
matrix-multiplication,38,15372.2,15412.8
matrix-multiplication,39,16156.4,15750.0
matrix-multiplication,40,15890.4,15401.6
matrix-multiplication,41,25412.8,25620.4
matrix-multiplication,42,15386.8,15407.6
matrix-multiplication,43,25544.4,28529.4
matrix-multiplication,44,16560.8,15541.4
matrix-multiplication,45,16716.2,15655.2
matrix-multiplication,46,15164.6,15551.0
matrix-multiplication,47,16220.2,17113.6
matrix-multiplication,48,15429.2,16894.2
matrix-multiplication,49,23747.2,23496.0
matrix-multiplication,50,15161.0,16092.2
matrix-multiplication,51,14564.2,15023.6
matrix-multiplication,52,19705.0,20609.4
matrix-multiplication,53,15571.6,15478.2
matrix-multiplication,54,26181.6,25521.4
matrix-multiplication,55,15636.0,16381.2
matrix-multiplication,56,15842.8,15824.8
