bench,invocation,baseline_mean_us,aot_mean_us
simple-hash,1,12899.0,8209.4
simple-hash,2,7659.6,7842.4
simple-hash,3,7760.0,7945.4
simple-hash,4,7593.4,7449.4
simple-hash,5,7518.0,6912.0
simple-hash,6,7581.0,6957.4
simple-hash,7,7622.0,7265.8
simple-hash,8,8168.4,7334.6
simple-hash,9,8453.2,7859.4
simple-hash,10,8466.4,7663.6
simple-hash,11,8031.2,7874.2
simple-hash,12,8017.2,7745.0
simple-hash,13,8064.4,6978.4
simple-hash,14,8457.8,7866.6
simple-hash,15,7808.0,7627.2
simple-hash,16,8400.2,7696.2
simple-hash,17,9539.4,6892.8
simple-hash,18,8529.2,6911.0
simple-hash,19,8175.0,7691.0
simple-hash,20,8831.0,7909.6
simple-hash,21,8576.0,8242.0
simple-hash,22,8257.2,7795.6
simple-hash,23,9115.6,7789.4
simple-hash,24,9651.6,7394.4
simple-hash,25,7887.4,7299.2
simple-hash,26,8413.4,8155.8
simple-hash,27,7415.2,8219.0
simple-hash,28,9908.2,8455.0
simple-hash,29,9596.4,8132.6
simple-hash,30,9444.2,8612.8
simple-hash,31,9531.8,8852.2
simple-hash,32,8728.4,7444.0
simple-hash,33,9632.4,8416.6
simple-hash,34,8598.8,8690.0
simple-hash,35,7895.8,9785.6
simple-hash,36,8019.6,10648.4
simple-hash,37,8287.2,9363.4
simple-hash,38,8724.2,8553.4
simple-hash,39,9507.4,8275.6
simple-hash,40,8491.0,8278.2
simple-hash,41,8202.0,8139.6
simple-hash,42,8301.0,7663.4
simple-hash,43,7422.2,7153.4
simple-hash,44,8257.8,7935.2
simple-hash,45,8368.8,7507.6
simple-hash,46,8044.6,6740.6
simple-hash,47,7578.8,6206.0
simple-hash,48,7971.2,6822.2
simple-hash,49,8008.2,7227.2
simple-hash,50,7356.0,7799.6
simple-hash,51,7643.2,6410.8
simple-hash,52,8162.2,5646.6
simple-hash,53,8440.6,7195.0
simple-hash,54,8943.4,8035.8
simple-hash,55,10282.2,8200.8
simple-hash,56,8961.4,7881.8
simple-hash,57,10048.6,9214.0
simple-hash,58,9064.4,8614.4
simple-hash,59,8641.8,8064.4
simple-hash,60,9138.0,8920.6
simple-hash,61,9187.2,7737.4
simple-hash,62,8377.6,6963.8
simple-hash,63,9116.0,6741.8
simple-hash,64,8100.4,6766.2
simple-hash,65,8192.4,7365.2
simple-hash,66,8336.8,7382.4
simple-hash,67,8673.6,7323.6
simple-hash,68,8691.0,6570.0
simple-hash,69,7276.2,6596.0
simple-hash,70,8538.6,8295.2
simple-hash,71,8842.2,8532.4
simple-hash,72,8128.2,8050.0
simple-hash,73,9514.4,7525.4
simple-hash,74,8845.4,7001.2
simple-hash,75,8061.6,7452.6
simple-hash,76,8511.0,6922.2
simple-hash,77,7968.6,7612.4
simple-hash,78,8199.8,7628.8
simple-hash,79,8430.8,7626.2
simple-hash,80,8763.0,7245.8
simple-hash,81,9051.6,7130.2
simple-hash,82,7898.6,8247.2
simple-hash,83,9210.6,8290.0
simple-hash,84,8903.4,7536.8
simple-hash,85,8205.0,8034.0
simple-hash,86,7685.8,7302.2
