bench,invocation,cold_mean_us,warm_mean_us
simple-hash,1,17768.2,13595.6
simple-hash,2,10350.4,10195.4
simple-hash,3,8870.0,10148.0
simple-hash,4,9834.2,10298.0
simple-hash,5,8545.2,10181.0
simple-hash,6,10001.6,10142.4
simple-hash,7,9984.0,9784.4
simple-hash,8,10051.4,10243.6
simple-hash,9,10253.6,10256.4
simple-hash,10,10144.6,10139.8
simple-hash,11,10018.4,10259.2
simple-hash,12,10022.2,10552.0
simple-hash,13,10050.4,10299.0
simple-hash,14,9080.6,9886.4
simple-hash,15,9556.8,9724.4
simple-hash,16,10501.2,10475.6
simple-hash,17,10748.2,10432.0
simple-hash,18,8971.4,9867.4
simple-hash,19,10275.6,10532.0
simple-hash,20,9581.2,10416.0
simple-hash,21,10554.4,10030.4
simple-hash,22,10219.8,10062.6
simple-hash,23,9735.2,10268.2
simple-hash,24,9249.8,9904.6
simple-hash,25,9776.4,10243.6
simple-hash,26,9675.6,9604.4
simple-hash,27,9055.0,8652.4
simple-hash,28,9391.6,8803.4
simple-hash,29,9169.6,10015.6
simple-hash,30,9598.6,10373.4
simple-hash,31,9351.8,10069.0
simple-hash,32,10209.6,10239.4
simple-hash,33,9194.0,10543.0
simple-hash,34,8801.6,10081.6
simple-hash,35,9599.4,10141.8
simple-hash,36,10287.6,9620.4
simple-hash,37,9955.0,9304.6
simple-hash,38,9801.6,9925.4
simple-hash,39,9125.0,10047.6
simple-hash,40,9514.0,9989.4
simple-hash,41,10156.6,10147.6
simple-hash,42,9947.8,9994.2
simple-hash,43,10059.0,9666.8
simple-hash,44,8290.2,8705.6
simple-hash,45,10432.2,9259.2
simple-hash,46,10152.2,8688.0
simple-hash,47,8438.4,8113.0
simple-hash,48,9448.0,8113.0
simple-hash,49,9678.8,8662.4
simple-hash,50,9293.8,7854.2
simple-hash,51,10025.0,8998.8
simple-hash,52,10149.0,9069.2
simple-hash,53,9777.2,8779.8
simple-hash,54,10167.0,9113.0
simple-hash,55,8676.8,8477.4
simple-hash,56,10006.2,8828.4
simple-hash,57,9902.4,8439.8
simple-hash,58,9780.8,9592.2
simple-hash,59,10196.8,10160.4
simple-hash,60,10562.0,9646.2
simple-hash,61,10125.8,9180.8
simple-hash,62,10065.8,8543.0
simple-hash,63,9333.2,9394.6
simple-hash,64,8463.6,6874.0
simple-hash,65,10099.6,6725.8
simple-hash,66,9771.8,6997.0
simple-hash,67,9460.8,8761.4
simple-hash,68,7506.8,9595.8
simple-hash,69,9262.8,9660.6
simple-hash,70,10267.2,9785.4
simple-hash,71,9444.4,10278.2
simple-hash,72,10339.2,10310.4
simple-hash,73,9202.8,9408.0
simple-hash,74,10391.4,9966.0
simple-hash,75,8844.4,9500.4
simple-hash,76,9019.0,9980.0
simple-hash,77,9795.4,10232.2
simple-hash,78,9609.4,10275.2
simple-hash,79,9603.8,10102.8
simple-hash,80,10306.6,10067.8
simple-hash,81,9352.6,8845.4
simple-hash,82,10029.8,9780.4
simple-hash,83,8856.2,10106.6
simple-hash,84,10045.6,9864.2
simple-hash,85,9106.6,10235.8
simple-hash,86,9005.6,10394.6
simple-hash,87,9177.4,10286.2
simple-hash,88,9729.0,9400.0
simple-hash,89,9790.0,10022.8
simple-hash,90,9277.4,9742.0
simple-hash,91,8892.4,10160.4
simple-hash,92,8896.6,9704.8
simple-hash,93,9051.4,10340.6
simple-hash,94,9333.8,10102.0
simple-hash,95,8851.0,10299.6
simple-hash,96,8833.4,9689.0
simple-hash,97,9785.4,10125.2
simple-hash,98,9516.2,10412.6
simple-hash,99,9294.2,10059.0
simple-hash,100,10072.0,10208.4
simple-hash,101,9303.4,9037.8
simple-hash,102,9048.6,9060.0
simple-hash,103,7922.6,9113.8
simple-hash,104,9379.6,9367.8
simple-hash,105,10431.8,9082.2
simple-hash,106,8619.8,10116.2
simple-hash,107,9947.2,9363.6
simple-hash,108,10579.2,9175.4
simple-hash,109,9515.6,9411.0
simple-hash,110,10828.6,10135.6
simple-hash,111,10609.0,8840.6
simple-hash,112,10802.2,9808.4
simple-hash,113,10417.0,10439.2
simple-hash,114,10907.0,9997.8
simple-hash,115,10128.8,10089.2
simple-hash,116,10973.0,10103.0
simple-hash,117,11271.4,10509.8
simple-hash,118,10222.8,10205.0
simple-hash,119,9308.4,9834.2
simple-hash,120,8426.2,9604.0
simple-hash,121,8176.6,8213.0
simple-hash,122,8663.6,8076.4
simple-hash,123,9672.2,8368.6
simple-hash,124,8375.2,9302.2
simple-hash,125,8822.6,8958.2
simple-hash,126,8333.6,9966.0
simple-hash,127,9304.8,9219.6
simple-hash,128,9104.8,8973.0
simple-hash,129,9115.4,9079.0
simple-hash,130,9019.2,9193.4
simple-hash,131,9273.6,10291.4
simple-hash,132,8500.0,9474.8
simple-hash,133,8932.6,9737.0
simple-hash,134,8487.6,10000.6
simple-hash,135,8028.2,10338.0
simple-hash,136,7957.0,9550.4
simple-hash,137,8928.6,10094.2
simple-hash,138,10174.8,10123.6
simple-hash,139,10815.6,10467.0
simple-hash,140,10550.2,10363.0
simple-hash,141,9664.0,9920.0
simple-hash,142,9576.2,10471.4
simple-hash,143,8649.0,9965.2
simple-hash,144,9691.2,9926.0
simple-hash,145,9904.2,9917.8
simple-hash,146,9779.8,9991.4
simple-hash,147,9359.2,9651.4
