bench,invocation,cold_mean_us,warm_mean_us
word-count,1,17971.2,14951.2
word-count,2,3502.2,1258.8
word-count,3,1742.2,1111.0
word-count,4,1608.4,1041.8
word-count,5,1586.8,1069.0
word-count,6,1594.6,1000.0
word-count,7,1631.0,1067.2
word-count,8,1288.2,1077.0
word-count,9,1294.4,1089.8
word-count,10,1204.0,1103.6
word-count,11,1184.2,1131.6
word-count,12,1194.6,1306.2
word-count,13,1197.6,1251.0
word-count,14,1215.6,1303.0
word-count,15,1168.4,1295.4
word-count,16,1086.0,1148.0
word-count,17,1076.4,1053.6
word-count,18,1073.4,977.0
word-count,19,1095.4,998.2
word-count,20,1048.0,1050.4
word-count,21,1201.8,1020.0
word-count,22,1147.0,1006.6
word-count,23,1129.8,1008.2
word-count,24,1101.0,995.6
word-count,25,1095.6,976.0
word-count,26,1140.4,972.6
word-count,27,1097.0,1004.4
word-count,28,1058.6,974.0
word-count,29,1001.8,986.8
word-count,30,1055.8,987.4
word-count,31,1006.4,971.4
word-count,32,1116.6,931.0
word-count,33,1079.0,981.0
word-count,34,1097.2,952.4
word-count,35,1044.0,906.8
word-count,36,992.6,931.8
word-count,37,1007.8,924.4
word-count,38,1036.2,939.6
word-count,39,1084.8,933.8
word-count,40,1000.8,947.4
word-count,41,1001.4,923.4
word-count,42,982.8,909.2
word-count,43,950.4,933.6
word-count,44,935.8,910.0
word-count,45,971.8,921.8
word-count,46,932.6,895.2
word-count,47,912.2,921.8
word-count,48,933.2,934.0
word-count,49,921.2,910.2
word-count,50,903.4,912.0
word-count,51,918.0,951.4
word-count,52,914.2,930.2
word-count,53,907.6,917.2
word-count,54,930.0,898.4
word-count,55,945.2,922.8
word-count,56,948.0,908.2
word-count,57,923.4,927.4
word-count,58,905.4,944.8
word-count,59,919.2,929.6
word-count,60,2427.2,2289.0
word-count,61,918.8,955.6
word-count,62,925.0,928.4
word-count,63,872.6,903.6
word-count,64,854.2,933.6
word-count,65,860.0,896.0
word-count,66,870.0,905.0
word-count,67,850.4,883.2
word-count,68,842.4,869.4
word-count,69,846.4,864.0
word-count,70,852.8,844.2
word-count,71,885.8,867.0
word-count,72,874.8,861.8
word-count,73,871.4,869.8
word-count,74,862.8,864.8
word-count,75,847.6,860.2
word-count,76,867.8,877.2
word-count,77,917.6,886.4
word-count,78,869.6,848.0
word-count,79,841.6,856.4
word-count,80,853.6,852.4
word-count,81,862.0,864.6
word-count,82,872.0,892.6
word-count,83,884.0,871.2
word-count,84,899.8,860.0
word-count,85,910.2,856.8
word-count,86,866.2,849.0
word-count,87,870.2,853.0
word-count,88,870.2,853.8
word-count,89,861.0,864.8
word-count,90,858.0,868.0
word-count,91,864.0,858.0
